Incident Begin Date,Incident End Date,State,State2,countyCode,Sequence,sequenceLength,sequenceLocation,Event
2015/10/1,2015/10/23,SC,South Carolina,45009,1,6,1,119
2016/10/4,2016/10/30,SC,South Carolina,45009,1,6,2,119
2017/9/6,2017/9/13,SC,South Carolina,45009,1,6,3,119
2018/9/8,2018/10/8,SC,South Carolina,45009,1,6,4,119
2019/8/31,2019/9/6,SC,South Carolina,45009,1,6,5,119
2020/2/6,2020/2/13,SC,South Carolina,45009,1,6,6,119
2022/9/25,2022/10/4,SC,South Carolina,45009,0,1,1,120
2016/5/22,2016/6/24,TX,Texas,48019,0,1,1,121
2017/9/7,2017/9/20,GA,Georgia,13011,0,1,1,122
2020/10/29,2020/10/29,GA,Georgia,13011,0,1,1,123
2015/12/23,2015/12/31,AL,Alabama,1005,0,1,1,127
2017/9/8,2017/9/14,AL,Alabama,1005,1,2,1,128
2017/10/6,2017/10/10,AL,Alabama,1005,1,2,2,128
2018/10/10,2018/10/13,AL,Alabama,1005,0,1,1,129
2020/4/19,2020/4/19,AL,Alabama,1005,1,2,1,130
2020/9/14,2020/9/16,AL,Alabama,1005,1,2,2,130
2015/10/1,2015/10/23,SC,South Carolina,45011,1,7,1,132
2016/10/4,2016/10/30,SC,South Carolina,45011,1,7,2,132
2017/9/6,2017/9/13,SC,South Carolina,45011,1,7,3,132
2018/9/8,2018/10/8,SC,South Carolina,45011,1,7,4,132
2019/8/31,2019/9/6,SC,South Carolina,45011,1,7,5,132
2020/2/6,2020/2/13,SC,South Carolina,45011,1,7,6,132
2020/4/12,2020/4/13,SC,South Carolina,45011,1,7,7,132
2022/9/25,2022/10/4,SC,South Carolina,45011,0,1,1,133
2017/9/7,2017/9/20,GA,Georgia,13013,0,1,1,134
2017/9/7,2017/9/20,GA,Georgia,13015,0,1,1,138
2015/5/4,2015/6/22,TX,Texas,48021,1,4,1,139
2015/10/22,2015/10/31,TX,Texas,48021,1,4,2,139
2016/4/17,2016/4/30,TX,Texas,48021,1,4,3,139
2016/5/22,2016/6/24,TX,Texas,48021,1,4,4,139
2017/8/23,2017/9/15,TX,Texas,48021,0,1,1,140
2012/8/27,2012/8/29,FL,Florida,12005,1,3,1,143
2013/7/2,2013/7/7,FL,Florida,12005,1,3,2,143
2014/4/28,2014/5/6,FL,Florida,12005,1,3,3,143
2017/9/4,2017/10/18,FL,Florida,12005,1,3,1,144
2018/10/7,2018/10/19,FL,Florida,12005,1,3,2,144
2019/8/28,2019/9/9,FL,Florida,12005,1,3,3,144
2020/9/14,2020/9/28,FL,Florida,12005,1,2,1,145
2021/8/13,2021/8/19,FL,Florida,12005,1,2,2,145
2022/9/23,2022/11/4,FL,Florida,12005,0,1,1,146
2015/5/4,2015/6/22,TX,Texas,48023,0,1,1,147
2018/9/10,2018/11/2,TX,Texas,48023,0,1,1,148
2015/10/1,2015/10/23,SC,South Carolina,45013,1,5,1,149
2016/10/4,2016/10/30,SC,South Carolina,45013,1,5,2,149
2017/9/6,2017/9/13,SC,South Carolina,45013,1,5,3,149
2018/9/8,2018/10/8,SC,South Carolina,45013,1,5,4,149
2019/8/31,2019/9/6,SC,South Carolina,45013,1,5,5,149
2022/9/25,2022/10/4,SC,South Carolina,45013,0,1,1,150
2012/8/26,2012/9/10,LA,Louisiana,22011,0,1,1,152
2016/3/8,2016/4/8,LA,Louisiana,22011,0,1,1,153
2017/8/27,2017/9/10,LA,Louisiana,22011,0,1,1,154
2019/7/10,2019/7/15,LA,Louisiana,22011,1,8,1,155
2020/6/5,2020/6/9,LA,Louisiana,22011,1,8,2,155
2020/8/22,2020/8/27,LA,Louisiana,22011,1,8,3,155
2020/9/13,2020/9/16,LA,Louisiana,22011,1,8,4,155
2020/10/6,2020/10/10,LA,Louisiana,22011,1,8,5,155
2020/10/26,2020/10/29,LA,Louisiana,22011,1,8,6,155
2021/8/26,2021/9/3,LA,Louisiana,22011,1,8,7,155
2021/9/12,2021/9/18,LA,Louisiana,22011,1,8,8,155
2017/8/23,2017/9/15,TX,Texas,48025,0,1,1,158
2020/7/25,2020/7/31,TX,Texas,48025,0,1,1,159
2017/9/7,2017/9/20,GA,Georgia,13017,0,1,1,162
2018/10/9,2018/10/23,GA,Georgia,13017,0,1,1,163
2015/12/23,2015/12/28,MS,Mississippi,28009,0,1,1,166
2021/8/28,2021/9/1,MS,Mississippi,28009,0,1,1,167
2015/10/1,2015/10/23,SC,South Carolina,45015,1,6,1,168
2016/10/4,2016/10/30,SC,South Carolina,45015,1,6,2,168
2017/9/6,2017/9/13,SC,South Carolina,45015,1,6,3,168
2018/9/8,2018/10/8,SC,South Carolina,45015,1,6,4,168
2019/8/31,2019/9/6,SC,South Carolina,45015,1,6,5,168
